ZCRm,Energym,EnergyEntropym,SpectralCentroidm,SpectralEntropym,MFCCs1m,MFCCs2m,ChromaVector1m,ChromaDeviationm,EnergyEntropystd,SpectralCentroidstd,SpectralSpreadstd,SpectralEntropystd,SpectralFluxstd,SpectralRolloffstd,MFCCs1std,ChromaVector1std,BPM,class
0.143669047,0.114973007,3.17439306,0.27491408,1.318039359,-21.6998216,1.013714991,0.009241365,0.038979723,0.11144811,0.034330745,0.017391288,0.432148749,0.00304455,0.118432365,0.756069914,0.008465518,129,BigRoom
0.081110541,0.12305407,3.165182156,0.200689905,0.699621314,-22.51655981,1.49315905,0.017379343,0.04865665,0.105436595,0.03474075,0.021142415,0.304311968,0.005389818,0.068813423,0.678213688,0.01300512,129,BigRoom
0.130856975,0.124642205,3.16053878,0.259496739,1.230112857,-21.85746267,1.462316972,0.009029064,0.044115899,0.146493231,0.047772848,0.021719817,0.43083076,0.012209408,0.122519585,1.288005928,0.009053371,126,BigRoom
0.104547294,0.114817842,3.229524891,0.224263439,0.980680785,-21.6373353,1.682238043,0.011656329,0.03421936,0.056892551,0.035580881,0.02132788,0.29937273,0.003245587,0.074105651,0.515417338,0.011448791,129,BigRoom
0.113933558,0.096949122,3.162726708,0.257372481,0.996490426,-22.66689962,1.401149043,0.008355356,0.047591572,0.110560188,0.032150454,0.014083628,0.337741445,0.005046201,0.098419542,0.696239493,0.007147117,131,BigRoom
0.148623058,0.098288334,3.17165285,0.265325396,1.332491052,-22.42450981,1.221402361,0.007598753,0.039139562,0.141910307,0.045024465,0.01827996,0.418581602,0.003673996,0.122566424,0.645340563,0.006364039,129,BigRoom
0.126170738,0.107742237,3.20561038,0.263191574,1.199874511,-22.14229375,0.950576543,0.008643458,0.046968889,0.101070524,0.029675992,0.014906088,0.382913403,0.003700864,0.107083831,0.708058281,0.00876227,129,BigRoom
0.110617796,0.114304628,3.198538278,0.236301981,1.078755159,-21.79798931,1.150109437,0.009866748,0.048163883,0.083911153,0.033496269,0.017719467,0.348402318,0.003894785,0.089176332,0.749201081,0.008301379,129,BigRoom
0.123181357,0.151837449,3.208440614,0.278937729,1.128308896,-21.54234977,1.276499437,0.006356779,0.053611872,0.072048679,0.033191242,0.015600249,0.371291071,0.004959831,0.116537187,0.696865065,0.004915146,140,BigRoom
0.156316625,0.115048478,3.177526956,0.298026819,1.267556438,-22.26220637,1.588671537,0.006838686,0.043031701,0.083117216,0.050179444,0.017839895,0.472518664,0.004133449,0.159234778,0.813168046,0.006399089,130,BigRoom
